sample,host_elapsed_s,mono_ns,phase,door_deg,lip_height_cm,shoulder_deg,shoulder_load_raw,elbow_load_raw,wrist_load_raw,arm_target_error_deg,torque_command,target_door_deg,q_0_deg,q_1_deg,q_2_deg,q_3_deg,q_4_deg,q_5_deg
22,0.427028057,7164124913744,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
23,0.443495229,7164141380916,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
24,0.461566499,7164159452186,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
25,0.479423824,7164177309511,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
26,0.497457537,7164195343224,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
27,0.515593105,7164213478792,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
28,0.533470881,7164231356568,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
29,0.551497414,7164249383101,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
30,0.5693745,7164267260187,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
31,0.587745002,7164285630689,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
