body,q5_deg,band_lo_mm,band_hi_mm,n_pts_in_window,min_r_mm,max_r_mm
gripper_link,5.0000,15.5,16.0,0,,
gripper_link,5.0000,16.0,16.5,0,,
gripper_link,5.0000,16.5,17.0,0,,
gripper_link,5.0000,17.0,17.5,0,,
gripper_link,5.0000,17.5,18.0,0,,
gripper_link,5.0000,18.0,18.5,0,,
gripper_link,5.0000,18.5,19.0,0,,
gripper_link,5.0000,19.0,19.5,0,,
gripper_link,5.0000,19.5,20.0,0,,
gripper_link,5.0000,20.0,20.5,0,,
gripper_link,5.0000,20.5,21.0,0,,
gripper_link,5.0000,21.0,21.5,0,,
gripper_link,5.0000,21.5,22.0,0,,
gripper_link,5.0000,22.0,22.5,0,,
gripper_link,5.0000,22.5,23.0,0,,
gripper_link,5.0000,23.0,23.5,0,,
gripper_link,5.0000,23.5,24.0,0,,
gripper_link,5.0000,24.0,24.5,0,,
gripper_link,5.0000,24.5,25.0,0,,
gripper_link,5.0000,25.0,25.5,0,,
gripper_link,5.0000,25.5,26.0,0,,
gripper_link,5.0000,26.0,26.5,0,,
gripper_link,5.0000,26.5,27.0,0,,
gripper_link,5.0000,27.0,27.5,0,,
gripper_link,5.0000,27.5,28.0,0,,
gripper_link,5.0000,28.0,28.5,0,,
gripper_link,5.0000,28.5,29.0,0,,
gripper_link,5.0000,29.0,29.5,0,,
gripper_link,5.0000,29.5,30.0,0,,
gripper_link,0.0000,-5.0,-4.5,806,4.87,13.40
gripper_link,0.0000,-4.5,-4.0,922,4.79,13.09
gripper_link,0.0000,-4.0,-3.5,900,4.66,12.47
gripper_link,0.0000,-3.5,-3.0,1080,4.48,12.16
gripper_link,0.0000,-3.0,-2.5,900,4.48,11.86
gripper_link,0.0000,-2.5,-2.0,752,4.48,11.26
gripper_link,0.0000,-2.0,-1.5,948,4.48,10.97
gripper_link,0.0000,-1.5,-1.0,790,4.51,10.39
gripper_link,0.0000,-1.0,-0.5,758,4.63,10.10
gripper_link,0.0000,-0.5,0.0,616,4.70,9.55
gripper_link,0.0000,0.0,0.5,630,4.70,9.28
gripper_link,0.0000,0.5,1.0,718,4.62,9.01
gripper_link,0.0000,1.0,1.5,692,4.50,8.50
gripper_link,0.0000,1.5,2.0,788,4.48,8.26
gripper_link,0.0000,2.0,2.5,472,4.49,7.79
gripper_link,0.0000,2.5,3.0,584,4.49,7.57
gripper_link,0.0000,3.0,3.5,314,4.49,7.28
gripper_link,0.0000,3.5,4.0,416,4.48,6.77
gripper_link,0.0000,4.0,4.5,0,,
gripper_link,0.0000,4.5,5.0,0,,
gripper_link,0.0000,5.0,5.5,0,,
gripper_link,0.0000,5.5,6.0,0,,
gripper_link,0.0000,6.0,6.5,0,,
gripper_link,0.0000,6.5,7.0,0,,
gripper_link,0.0000,7.0,7.5,0,,
gripper_link,0.0000,7.5,8.0,0,,
gripper_link,0.0000,8.0,8.5,0,,
gripper_link,0.0000,8.5,9.0,0,,
gripper_link,0.0000,9.0,9.5,0,,
gripper_link,0.0000,9.5,10.0,0,,
gripper_link,0.0000,10.0,10.5,0,,
gripper_link,0.0000,10.5,11.0,0,,
gripper_link,0.0000,11.0,11.5,0,,
gripper_link,0.0000,11.5,12.0,0,,
gripper_link,0.0000,12.0,12.5,0,,
gripper_link,0.0000,12.5,13.0,0,,
gripper_link,0.0000,13.0,13.5,0,,
gripper_link,0.0000,13.5,14.0,0,,
gripper_link,0.0000,14.0,14.5,0,,
gripper_link,0.0000,14.5,15.0,0,,
gripper_link,0.0000,15.0,15.5,0,,
gripper_link,0.0000,15.5,16.0,0,,
gripper_link,0.0000,16.0,16.5,0,,
gripper_link,0.0000,16.5,17.0,0,,
gripper_link,0.0000,17.0,17.5,0,,
gripper_link,0.0000,17.5,18.0,0,,
gripper_link,0.0000,18.0,18.5,0,,
gripper_link,0.0000,18.5,19.0,0,,
gripper_link,0.0000,19.0,19.5,0,,
gripper_link,0.0000,19.5,20.0,0,,
gripper_link,0.0000,20.0,20.5,0,,
gripper_link,0.0000,20.5,21.0,0,,
gripper_link,0.0000,21.0,21.5,0,,
gripper_link,0.0000,21.5,22.0,0,,
gripper_link,0.0000,22.0,22.5,0,,
gripper_link,0.0000,22.5,23.0,0,,
gripper_link,0.0000,23.0,23.5,0,,
gripper_link,0.0000,23.5,24.0,0,,
gripper_link,0.0000,24.0,24.5,0,,
gripper_link,0.0000,24.5,25.0,0,,
gripper_link,0.0000,25.0,25.5,0,,
gripper_link,0.0000,25.5,26.0,0,,
gripper_link,0.0000,26.0,26.5,0,,
gripper_link,0.0000,26.5,27.0,0,,
gripper_link,0.0000,27.0,27.5,0,,
gripper_link,0.0000,27.5,28.0,0,,
gripper_link,0.0000,28.0,28.5,0,,
gripper_link,0.0000,28.5,29.0,0,,
gripper_link,0.0000,29.0,29.5,0,,
gripper_link,0.0000,29.5,30.0,0,,
gripper_link,peak_5.1000,-5.0,-4.5,866,1.95,12.36
gripper_link,peak_5.1000,-4.5,-4.0,855,1.82,12.01
gripper_link,peak_5.1000,-4.0,-3.5,901,1.53,11.32
gripper_link,peak_5.1000,-3.5,-3.0,1001,0.92,10.96
gripper_link,peak_5.1000,-3.0,-2.5,966,0.16,10.28
gripper_link,peak_5.1000,-2.5,-2.0,862,0.55,9.93
gripper_link,peak_5.1000,-2.0,-1.5,728,0.51,9.56
gripper_link,peak_5.1000,-1.5,-1.0,981,0.09,8.90
gripper_link,peak_5.1000,-1.0,-0.5,794,0.93,8.50
gripper_link,peak_5.1000,-0.5,0.0,637,1.31,7.87
gripper_link,peak_5.1000,0.0,0.5,647,1.46,7.47
gripper_link,peak_5.1000,0.5,1.0,639,1.32,6.85
gripper_link,peak_5.1000,1.0,1.5,793,0.93,6.51
gripper_link,peak_5.1000,1.5,2.0,751,0.18,5.84
gripper_link,peak_5.1000,2.0,2.5,592,0.18,5.51
gripper_link,peak_5.1000,2.5,3.0,550,0.14,5.00
gripper_link,peak_5.1000,3.0,3.5,388,0.12,4.54
gripper_link,peak_5.1000,3.5,4.0,544,0.10,3.78
gripper_link,peak_5.1000,4.0,4.5,0,,
gripper_link,peak_5.1000,4.5,5.0,0,,
gripper_link,peak_5.1000,5.0,5.5,0,,
gripper_link,peak_5.1000,5.5,6.0,0,,
gripper_link,peak_5.1000,6.0,6.5,0,,
gripper_link,peak_5.1000,6.5,7.0,0,,
gripper_link,peak_5.1000,7.0,7.5,0,,
gripper_link,peak_5.1000,7.5,8.0,0,,
gripper_link,peak_5.1000,8.0,8.5,0,,
gripper_link,peak_5.1000,8.5,9.0,0,,
gripper_link,peak_5.1000,9.0,9.5,0,,
gripper_link,peak_5.1000,9.5,10.0,0,,
gripper_link,peak_5.1000,10.0,10.5,0,,
gripper_link,peak_5.1000,10.5,11.0,0,,
gripper_link,peak_5.1000,11.0,11.5,0,,
gripper_link,peak_5.1000,11.5,12.0,0,,
gripper_link,peak_5.1000,12.0,12.5,0,,
gripper_link,peak_5.1000,12.5,13.0,0,,
gripper_link,peak_5.1000,13.0,13.5,0,,
gripper_link,peak_5.1000,13.5,14.0,0,,
gripper_link,peak_5.1000,14.0,14.5,0,,
gripper_link,peak_5.1000,14.5,15.0,0,,
gripper_link,peak_5.1000,15.0,15.5,0,,
gripper_link,peak_5.1000,15.5,16.0,0,,
gripper_link,peak_5.1000,16.0,16.5,0,,
gripper_link,peak_5.1000,16.5,17.0,0,,
gripper_link,peak_5.1000,17.0,17.5,0,,
gripper_link,peak_5.1000,17.5,18.0,0,,
gripper_link,peak_5.1000,18.0,18.5,0,,
gripper_link,peak_5.1000,18.5,19.0,0,,
gripper_link,peak_5.1000,19.0,19.5,0,,
gripper_link,peak_5.1000,19.5,20.0,0,,
gripper_link,peak_5.1000,20.0,20.5,0,,
gripper_link,peak_5.1000,20.5,21.0,0,,
gripper_link,peak_5.1000,21.0,21.5,0,,
gripper_link,peak_5.1000,21.5,22.0,0,,
gripper_link,peak_5.1000,22.0,22.5,0,,
gripper_link,peak_5.1000,22.5,23.0,0,,
gripper_link,peak_5.1000,23.0,23.5,0,,
gripper_link,peak_5.1000,23.5,24.0,0,,
gripper_link,peak_5.1000,24.0,24.5,0,,
gripper_link,peak_5.1000,24.5,25.0,0,,
gripper_link,peak_5.1000,25.0,25.5,0,,
gripper_link,peak_5.1000,25.5,26.0,0,,
gripper_link,peak_5.1000,26.0,26.5,0,,
gripper_link,peak_5.1000,26.5,27.0,0,,
gripper_link,peak_5.1000,27.0,27.5,0,,
gripper_link,peak_5.1000,27.5,28.0,0,,
gripper_link,peak_5.1000,28.0,28.5,0,,
gripper_link,peak_5.1000,28.5,29.0,0,,
gripper_link,peak_5.1000,29.0,29.5,0,,
gripper_link,peak_5.1000,29.5,30.0,0,,
