physics_step,sim_time_s,phase,label,tcp_x,tcp_y,tcp_z,obj_x,obj_y,obj_z,quat_w,quat_x,quat_y,quat_z,q5_deg,q5_cmd_deg,target_error_m,object_drift_m,object_speed_mps,tilt_deg,upright_z,marker,attach_calls_total,posewrite_calls_total
108,1.08,approach,approach_open_wp010,0.312847,-0.040232,0.283493,0.213862,-0.19573,0.025,1.0,1.7e-05,-3e-06,-0.000166,88.3094,88.31,0.00211,2e-06,0.00043,0.002,1.0,0,0,0
109,1.09,approach,approach_open_wp011,0.312073,-0.041183,0.282249,0.213863,-0.195729,0.025,1.0,-5e-06,1.8e-05,-0.000169,88.3094,88.31,0.007813,2e-06,0.000707,0.0021,1.0,0,0,0
110,1.1,approach,approach_open_wp011,0.31145,-0.042013,0.281034,0.213861,-0.195728,0.025,1.0,-1.3e-05,-1.5e-05,-0.000162,88.3094,88.31,0.006257,2e-06,0.000656,0.0023,1.0,0,0,0
111,1.11,approach,approach_open_wp011,0.310935,-0.042689,0.280044,0.213861,-0.19573,0.025,1.0,1.6e-05,-6e-06,-0.000166,88.3094,88.31,0.005006,0.0,0.000449,0.002,1.0,0,0,0
112,1.12,approach,approach_open_wp011,0.310508,-0.043238,0.279244,0.213863,-0.195729,0.025,1.0,-2e-06,1.9e-05,-0.000169,88.3094,88.31,0.00401,2e-06,0.000744,0.0021,1.0,0,0,0
113,1.13,approach,approach_open_wp011,0.310155,-0.043685,0.278596,0.213861,-0.195728,0.025,1.0,-1.6e-05,-1.3e-05,-0.000162,88.3094,88.31,0.003227,2e-06,0.0006,0.0023,1.0,0,0,0
114,1.14,approach,approach_open_wp011,0.309863,-0.04405,0.278072,0.213861,-0.19573,0.025,1.0,1.5e-05,-8e-06,-0.000165,88.3094,88.31,0.002625,0.0,0.000478,0.002,1.0,0,0,0
115,1.15,approach,approach_open_wp011,0.309623,-0.044347,0.277648,0.213863,-0.195729,0.025,1.0,0.0,1.9e-05,-0.000169,88.3094,88.31,0.002177,2e-06,0.000763,0.0022,1.0,0,0,0
116,1.16,approach,approach_open_wp012,0.30884,-0.045301,0.276426,0.213861,-0.195728,0.025,1.0,-1.7e-05,-1e-05,-0.000163,88.3094,88.31,0.007881,2e-06,0.000545,0.0023,1.0,0,0,0
117,1.17,approach,approach_open_wp012,0.308209,-0.046134,0.275228,0.213861,-0.19573,0.025,1.0,1.3e-05,-1.1e-05,-0.000165,88.3094,88.31,0.006329,2e-06,0.000529,0.0019,1.0,0,0,0
