leg,physics_step,phase,q5_deg,delta_mm,tilt_deg,clr_fixed_mm_MA,clr_moving_mm_MA,clr_fixed_mm_MB,clr_moving_mm_MB,clr_fixed_mm_visual,clr_moving_mm_visual,fixed_argmin_part,moving_argmin_part,fixed_n_inside,moving_n_inside
2,414,close,56.9265,-1.172975,1.5031,-0.034065,34.042087,-0.019714,34.036197,-0.034271,34.033072,part_029,part_045,19,0
2,415,close,55.1275,-1.174702,1.5063,-0.034433,32.719652,-0.019966,32.713646,-0.034641,32.716261,part_029,part_045,20,0
2,416,close,53.3551,-1.176072,1.5097,-0.033769,31.420966,-0.019209,31.415016,-0.033977,31.420805,part_029,part_045,19,0
2,417,close,51.8462,-1.177252,1.5142,-0.032893,30.294230,-0.018166,30.288679,-0.033101,30.294107,part_029,part_045,19,0
2,418,close,50.6098,-1.179170,1.5174,-0.034281,29.352248,-0.019511,29.347105,-0.034489,29.352244,part_029,part_045,20,0
2,419,close,49.5966,-1.179307,1.5196,-0.033828,28.568161,-0.018963,28.563264,-0.034038,28.567818,part_029,part_045,19,0
2,420,close,48.7665,-1.179992,1.5208,-0.033586,27.917583,-0.018674,27.912970,-0.033795,27.917355,part_029,part_045,19,0
2,421,close,48.0862,-1.180867,1.5215,-0.034463,27.379221,-0.019579,27.374938,-0.034671,27.380723,part_029,part_045,20,0
2,422,close,47.5288,-1.179992,1.5218,-0.033408,26.936004,-0.018496,26.931713,-0.033618,26.942392,part_029,part_045,19,0
2,423,close,47.0721,-1.179992,1.5217,-0.033425,26.572848,-0.018513,26.568520,-0.033635,26.583453,part_029,part_045,19,0
2,424,close,46.6979,-1.179992,1.5216,-0.033455,26.275621,-0.018543,26.271265,-0.033665,26.289761,part_029,part_045,19,0
2,425,close,46.3912,-1.180867,1.5212,-0.034518,26.031886,-0.019634,26.027511,-0.034729,26.048947,part_029,part_045,20,0
2,426,close,46.1399,-1.179992,1.5208,-0.033590,25.832948,-0.018678,25.828539,-0.033801,25.852447,part_029,part_045,19,0
2,427,close,45.9340,-1.179635,1.5204,-0.033685,25.670471,-0.018797,25.666069,-0.033897,25.691971,part_029,part_045,19,0
2,428,close,45.7653,-1.180182,1.5200,-0.034743,25.536225,-0.019906,25.531854,-0.034954,25.559634,part_029,part_045,20,0
2,429,close,45.6271,-1.179307,1.5198,-0.033803,25.426972,-0.018937,25.422576,-0.034014,25.451966,part_029,part_045,19,0
2,430,close,45.5138,-1.179307,1.5193,-0.033896,25.337097,-0.019030,25.332689,-0.034108,25.363386,part_029,part_045,19,0
2,431,close,44.7709,-1.176895,1.5138,-0.032961,24.750846,-0.018258,24.746407,-0.033171,24.785735,part_029,part_045,19,0
2,432,close,44.1621,-1.177580,1.5154,-0.033664,24.271267,-0.018915,24.266742,-0.033875,24.313447,part_029,part_045,19,0
2,433,close,43.6632,-1.177937,1.5163,-0.033496,23.878524,-0.018723,23.873970,-0.033707,23.927102,part_029,part_045,19,0
2,434,close,43.2545,-1.177937,1.5168,-0.033378,23.557877,-0.018605,23.553265,-0.033589,23.611249,part_029,part_045,19,0
2,435,close,42.9195,-1.178265,1.5171,-0.033332,23.295629,-0.018537,23.290960,-0.033543,23.351497,part_029,part_045,19,0
2,436,close,42.6451,-1.178265,1.5172,-0.033317,23.080382,-0.018522,23.075670,-0.033529,23.136544,part_029,part_045,19,0
2,437,close,42.4202,-1.178265,1.5172,-0.033317,22.904648,-0.018522,22.899929,-0.033529,22.959875,part_029,part_045,19,0
2,438,close,42.2359,-1.178265,1.5171,-0.033317,22.760837,-0.018522,22.756088,-0.033529,22.814228,part_029,part_045,19,0
2,439,close,42.0849,-1.178265,1.5169,-0.033347,22.643094,-0.018552,22.638319,-0.033559,22.694543,part_029,part_045,19,0
2,440,close,41.9612,-1.177937,1.5168,-0.033395,22.547333,-0.018622,22.542545,-0.033607,22.596304,part_029,part_045,19,0
2,441,close,40.7041,-1.174155,1.5076,-0.033169,21.567114,-0.018652,21.562981,-0.033380,21.575358,part_029,part_046,19,0
2,442,close,39.6740,-1.175525,1.5106,-0.033598,20.739150,-0.018988,20.739775,-0.033810,20.713593,part_029,part_061,19,0
2,443,close,38.8299,-1.176210,1.5125,-0.033243,19.970657,-0.018587,19.971422,-0.033455,20.004010,part_029,part_061,19,0
2,444,close,38.1382,-1.176895,1.5137,-0.032981,19.336772,-0.018279,19.337679,-0.033194,19.387054,part_029,part_061,19,0
2,445,close,37.5714,-1.176895,1.5144,-0.033882,18.816954,-0.019179,18.818021,-0.034094,18.880206,part_029,part_061,19,0
2,446,close,37.1070,-1.177252,1.5148,-0.033787,18.388636,-0.019060,18.389840,-0.033998,18.462321,part_029,part_061,19,0
2,447,close,36.7265,-1.177252,1.5149,-0.033792,18.038078,-0.019065,18.039434,-0.034004,18.119668,part_029,part_061,19,0
2,448,close,36.4147,-1.177252,1.5147,-0.033803,17.748852,-0.019077,17.750263,-0.034016,17.822588,part_029,part_061,19,0
2,449,close,36.1592,-1.177252,1.5145,-0.033816,17.512148,-0.019089,17.513659,-0.034028,17.574931,part_029,part_061,19,0
2,450,close,35.9498,-1.176895,1.5142,-0.032912,17.318150,-0.018209,17.319618,-0.033124,17.372565,part_029,part_060,19,0
2,451,close,35.7783,-1.176895,1.5141,-0.032905,17.157325,-0.018203,17.158699,-0.033117,17.205616,part_029,part_060,19,0
2,452,close,35.6377,-1.176895,1.5137,-0.032981,17.025714,-0.018279,17.026936,-0.033194,17.069199,part_029,part_060,19,0
2,453,close,35.5225,-1.176568,1.5134,-0.033059,16.918353,-0.018378,16.919433,-0.033271,16.958135,part_029,part_060,19,0
2,454,close,34.5252,-1.173470,1.5060,-0.032507,15.966546,-0.018036,15.965595,-0.032719,15.991567,part_029,part_059,19,0
2,455,close,33.7080,-1.174513,1.5082,-0.033068,15.174589,-0.018526,15.173675,-0.033279,15.198570,part_029,part_059,19,0
2,456,close,33.0383,-1.174840,1.5097,-0.032797,14.527006,-0.018233,14.526135,-0.033008,14.550151,part_029,part_059,19,0
2,457,close,32.4896,-1.175525,1.5107,-0.033586,13.995217,-0.018975,13.994388,-0.033798,14.017257,part_029,part_059,19,0
2,458,close,32.0400,-1.175525,1.5110,-0.033529,13.561491,-0.018919,13.560703,-0.033741,13.582051,part_029,part_059,19,0
2,459,close,31.6716,-1.175525,1.5112,-0.033499,13.205615,-0.018889,13.204865,-0.033711,13.224985,part_029,part_059,19,0
2,460,close,31.3697,-1.175525,1.5111,-0.033516,12.914029,-0.018906,12.913312,-0.033728,12.932047,part_029,part_059,19,0
2,461,close,31.1223,-1.175525,1.5111,-0.033516,12.675209,-0.018906,12.674521,-0.033728,12.691795,part_029,part_059,19,0
2,462,close,30.9196,-1.175525,1.5108,-0.033556,12.478740,-0.018946,12.478077,-0.033768,12.494175,part_029,part_059,19,0
2,463,close,30.7535,-1.175525,1.5106,-0.033586,12.318441,-0.018975,12.317799,-0.033798,12.332654,part_029,part_059,19,0
2,464,close,30.6174,-1.175525,1.5104,-0.033628,12.187085,-0.019018,12.186460,-0.033840,12.200112,part_029,part_059,19,0
2,465,close,30.5059,-1.175198,1.5102,-0.033693,12.080149,-0.019105,12.079540,-0.033905,12.092226,part_029,part_059,19,0
2,466,close,29.5116,-1.172100,1.5028,-0.033124,10.987379,-0.018745,10.971269,-0.033335,10.987478,part_029,part_063,19,0
2,467,close,28.6969,-1.173143,1.5051,-0.032703,10.034979,-0.018254,10.018926,-0.032914,10.035078,part_029,part_063,19,0
2,468,close,28.0292,-1.174155,1.5066,-0.033351,9.254036,-0.018834,9.238033,-0.033563,9.254143,part_029,part_063,19,0
