sample,host_elapsed_s,wall_time_ns,host_mono_ns,phase,P_command_I0,b_deg,s_deg,e_deg,t_deg,r_deg,gripper_open_deg,tB_raw,tS_raw,tE_raw,tT_raw,tR_raw,tG_raw
98,1.785978168,1789106159053895644,6522972172398,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
99,1.80420179,1789106159072119139,6522990396020,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
100,1.822097182,1789106159090014290,6523008291412,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
101,1.840170732,1789106159108087976,6523026364962,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
102,1.858259468,1789106159126176788,6523044453698,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
103,1.876123658,1789106159144040920,6523062317888,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
104,1.894214842,1789106159162131819,6523080409072,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
105,1.91226295,1789106159180180096,6523098457180,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
106,1.93061558,1789106159198532900,6523116809810,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
107,1.947344641,1789106159215262068,6523133538871,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
108,1.965214099,1789106159233131515,6523151408329,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
109,1.983071139,1789106159250988552,6523169265369,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
110,2.001116856,1789106159269034270,6523187311086,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
111,2.018935779,1789106159286853132,6523205130009,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
112,2.0370862,1789106159305003641,6523223280430,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
113,2.055177897,1789106159323095266,6523241372127,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
114,2.073005664,1789106159340922989,6523259199894,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
115,2.091093163,1789106159359010266,6523277287393,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
116,2.111525812,1789106159379443068,6523297720042,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
117,2.127462247,1789106159395379683,6523313656477,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
118,2.144108627,1789106159412026340,6523330302857,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
119,2.162011047,1789106159429928617,6523348205277,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
120,2.179800519,1789106159447717973,6523365994749,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
121,2.198121248,1789106159466038705,6523384315478,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
122,2.216086489,1789106159484003864,6523402280719,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
123,2.234063019,1789106159501980373,6523420257249,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
124,2.252126029,1789106159520043014,6523438320259,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
125,2.270067407,1789106159537984526,6523456261637,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
126,2.288012455,1789106159555929934,6523474206685,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
127,2.305963572,1789106159573880858,6523492157802,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
128,2.324544907,1789106159592461900,6523510739137,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
129,2.341184219,1789106159609101540,6523527378449,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
